n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,3,16,arithmetic,5,262144,6320714,6324668,24.111610412597656,24.126693725585938
64,3,16,arithmetic,6,262144,6358419,6368693,24.255443572998047,24.294635772705078
64,3,16,arithmetic,7,262144,6366133,6370166,24.284870147705078,24.300254821777344
64,3,16,reset,1,262144,7830420,7834956,29.870681762695313,29.887985229492188
64,3,16,reset,2,262144,7705132,7708716,29.392745971679688,29.406417846679688
64,3,16,reset,3,262144,7722302,7727050,29.45824432373047,29.476356506347656
64,3,16,reset,4,262144,7715531,7724844,29.432415008544922,29.467941284179688
64,3,16,reset,5,262144,7740737,7744980,29.528568267822266,29.544754028320313
64,3,16,reset,6,262144,7713025,7717080,29.422855377197266,29.438323974609375
64,3,16,reset,7,262144,7728892,7732809,29.483383178710938,29.49832534790039
256,0,0,arithmetic,1,65536,1834391,1837854,27.990585327148438,28.043426513671875
256,0,0,arithmetic,2,65536,1836117,1839626,28.016921997070313,28.070465087890625
256,0,0,arithmetic,3,65536,1965916,1969722,29.99749755859375,30.055572509765625
256,0,0,arithmetic,4,65536,1841781,1845392,28.103347778320313,28.158447265625
256,0,0,arithmetic,5,65536,1839505,1843532,28.068618774414063,28.13006591796875
256,0,0,arithmetic,6,65536,1841389,1845315,28.097366333007813,28.157272338867188
256,0,0,arithmetic,7,65536,1838209,1841866,28.048843383789063,28.104644775390625
256,0,0,reset,1,65536,2644234,2647933,40.347808837890625,40.40425109863281
256,0,0,reset,2,65536,2656673,2660466,40.53761291503906,40.595489501953125
256,0,0,reset,3,65536,2703985,2708310,41.25953674316406,41.325531005859375
256,0,0,reset,4,65536,2728383,2733381,41.63182067871094,41.70808410644531
256,0,0,reset,5,65536,2653090,2663301,40.482940673828125,40.63874816894531
256,0,0,reset,6,65536,2656004,2659688,40.52740478515625,40.5836181640625
256,0,0,reset,7,65536,2775727,2779388,42.35423278808594,42.41009521484375
256,1,8,arithmetic,1,65536,3098679,3102019,47.28208923339844,47.33305358886719
256,1,8,arithmetic,2,65536,3128129,3131422,47.73146057128906,47.781707763671875
256,1,8,arithmetic,3,65536,2956482,2959807,45.112335205078125,45.16307067871094
256,1,8,arithmetic,4,65536,2957335,2960916,45.12535095214844,45.17999267578125
256,1,8,arithmetic,5,65536,2958384,2962228,45.141357421875,45.20001220703125
256,1,8,arithmetic,6,65536,2952114,2956155,45.045684814453125,45.10734558105469
256,1,8,arithmetic,7,65536,2924623,2927927,44.62620544433594,44.67662048339844
256,1,8,reset,1,65536,4139911,4143139,63.17002868652344,63.21928405761719
256,1,8,reset,2,65536,4121890,4125158,62.895050048828125,62.944915771484375
256,1,8,reset,3,65536,4119333,4123049,62.85603332519531,62.91273498535156
256,1,8,reset,4,65536,4151086,4160319,63.340545654296875,63.48143005371094
256,1,8,reset,5,65536,4143132,4146471,63.21917724609375,63.27012634277344
256,1,8,reset,6,65536,4077486,4080703,62.217498779296875,62.26658630371094
256,1,8,reset,7,65536,4095866,4099368,62.497955322265625,62.5513916015625
256,2,16,arithmetic,1,65536,3035752,3039008,46.3218994140625,46.37158203125
256,2,16,arithmetic,2,65536,2987023,2990614,45.57835388183594,45.633148193359375
256,2,16,arithmetic,3,65536,2975968,2979827,45.40966796875,45.46855163574219
256,2,16,arithmetic,4,65536,2998756,3002432,45.75738525390625,45.8134765625
256,2,16,arithmetic,5,65536,2961255,2964508,45.18516540527344,45.23480224609375
256,2,16,arithmetic,6,65536,3092457,3095800,47.18714904785156,47.2381591796875
256,2,16,arithmetic,7,65536,3000776,3004345,45.7882080078125,45.84266662597656
256,2,16,reset,1,65536,4156838,4160206,63.428314208984375,63.479705810546875
256,2,16,reset,2,65536,4145013,4151267,63.24787902832031,63.34330749511719
256,2,16,reset,3,65536,4146002,4149918,63.262969970703125,63.322723388671875
256,2,16,reset,4,65536,4163067,4166333,63.52336120605469,63.57319641113281
256,2,16,reset,5,65536,4396968,4400504,67.0924072265625,67.1463623046875
256,2,16,reset,6,65536,4242386,4246329,64.73367309570313,64.79383850097656
256,2,16,reset,7,65536,4167529,4171709,63.59144592285156,63.65522766113281
256,3,24,arithmetic,1,65536,2902307,2905436,44.28569030761719,44.33343505859375
256,3,24,arithmetic,2,65536,2922015,2925973,44.58641052246094,44.64680480957031
256,3,24,arithmetic,3,65536,2933497,2936731,44.76161193847656,44.81095886230469
256,3,24,arithmetic,4,65536,2955056,2958255,45.090576171875,45.13938903808594
256,3,24,arithmetic,5,65536,2961151,2964474,45.18357849121094,45.234283447265625
256,3,24,arithmetic,6,65536,2961663,2965201,45.19139099121094,45.24537658691406
256,3,24,arithmetic,7,65536,2968562,2972832,45.296661376953125,45.36181640625
256,3,24,reset,1,65536,4241841,4245727,64.72535705566406,64.78465270996094
256,3,24,reset,2,65536,4237917,4241612,64.66548156738281,64.72186279296875
256,3,24,reset,3,65536,4146287,4149636,63.26731872558594,63.31842041015625
256,3,24,reset,4,65536,4151533,4154894,63.34736633300781,63.398651123046875
256,3,24,reset,5,65536,4172933,4176947,63.67390441894531,63.73515319824219
256,3,24,reset,6,65536,4241728,4245043,64.7236328125,64.77421569824219
256,3,24,reset,7,65536,4236598,4240009,64.64535522460938,64.69740295410156
