n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
96,16,powers-two,aligned-unrolled,3,87360,681731,686631,7.8036973443223445,7.8597870879120881
96,16,powers-two,openblas,3,87360,1378767,1383981,15.782589285714286,15.842273351648352
96,16,powers-two,onemkl,3,87360,1092630,1097723,12.507211538461538,12.565510531135532
96,16,powers-two,baseline,4,87360,1693136,1698106,19.381135531135531,19.438026556776556
96,16,powers-two,aligned,4,87360,704512,709507,8.0644688644688642,8.1216460622710631
96,16,powers-two,unrolled,4,87360,1571082,1575976,17.983997252747251,18.040018315018315
96,16,powers-two,aligned-unrolled,4,87360,698946,703950,8.0007554945054942,8.0580357142857135
96,16,powers-two,openblas,4,87360,1402409,1407356,16.053216575091575,16.109844322344323
96,16,powers-two,onemkl,4,87360,1120584,1125636,12.827197802197801,12.885027472527472
96,16,powers-two,baseline,5,87360,1675802,1680675,19.1827152014652,19.23849587912088
96,16,powers-two,aligned,5,87360,709847,715132,8.1255380036630029,8.1860347985347985
96,16,powers-two,unrolled,5,87360,1565029,1570264,17.91470924908425,17.974633699633699
96,16,powers-two,aligned-unrolled,5,87360,694500,699867,7.9498626373626378,8.0112980769230777
96,16,powers-two,openblas,5,87360,1397338,1402482,15.995169413919413,16.054052197802196
96,16,powers-two,onemkl,5,87360,1114297,1119337,12.755231227106227,12.812923534798534
96,16,reset,baseline,1,87360,2518419,2523330,28.82805631868132,28.884271978021978
96,16,reset,aligned,1,87360,1654062,1658833,18.93385989010989,18.988472985347986
96,16,reset,unrolled,1,87360,2408451,2413371,27.569265109890111,27.62558379120879
96,16,reset,aligned-unrolled,1,87360,1691632,1696516,19.363919413919415,19.419826007326009
96,16,reset,openblas,1,87360,2233621,2238431,25.568005952380954,25.623065476190476
96,16,reset,onemkl,1,87360,2172647,2177807,24.870043498168499,24.929109432234434
96,16,reset,baseline,2,87360,2531842,2536752,28.981707875457875,29.037912087912087
96,16,reset,aligned,2,87360,1651814,1656642,18.90812728937729,18.963392857142857
96,16,reset,unrolled,2,87360,2425302,2430327,27.762156593406594,27.819677197802196
96,16,reset,aligned-unrolled,2,87360,1698127,1702949,19.438266941391941,19.493463827838827
96,16,reset,openblas,2,87360,2239263,2244311,25.632589285714285,25.690373168498169
96,16,reset,onemkl,2,87360,2167633,2172475,24.812648809523811,24.868074633699635
96,16,reset,baseline,3,87360,2509672,2514625,28.727930402930404,28.784626831501832
96,16,reset,aligned,3,87360,1642950,1647725,18.806662087912088,18.861320970695971
96,16,reset,unrolled,3,87360,2389705,2394516,27.354681776556777,27.409752747252746
96,16,reset,aligned-unrolled,3,87360,1694957,1699808,19.401980311355313,19.457509157509158
96,16,reset,openblas,3,87360,2217106,2222195,25.378960622710622,25.437213827838828
96,16,reset,onemkl,3,87360,2152991,2157845,24.645043498168498,24.700606684981686
96,16,reset,baseline,4,87360,2497104,2502815,28.584065934065933,28.649439102564102
96,16,reset,aligned,4,87360,1630098,1634906,18.659546703296705,18.714583333333334
96,16,reset,unrolled,4,87360,2372924,2377959,27.162591575091575,27.220226648351648
96,16,reset,aligned-unrolled,4,87360,1682390,1687656,19.258127289377288,19.318406593406593
