n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
65536,0,0,arithmetic,7,256,1782911,1786370,6964.49609375,6978.0078125
65536,0,0,reset,1,256,4319974,4323502,16874.8984375,16888.6796875
65536,0,0,reset,2,256,4177169,4180865,16317.06640625,16331.50390625
65536,0,0,reset,3,256,4291238,4295615,16762.6484375,16779.74609375
65536,0,0,reset,4,256,4243282,4247211,16575.3203125,16590.66796875
65536,0,0,reset,5,256,4357469,4360998,17021.36328125,17035.1484375
65536,0,0,reset,6,256,4220804,4224485,16487.515625,16501.89453125
65536,0,0,reset,7,256,4305448,4310444,16818.15625,16837.671875
65536,1,8,arithmetic,1,256,1890936,1894562,7386.46875,7400.6328125
65536,1,8,arithmetic,2,256,1810453,1813965,7072.08203125,7085.80078125
65536,1,8,arithmetic,3,256,1806889,1810348,7058.16015625,7071.671875
65536,1,8,arithmetic,4,256,1894126,1898839,7398.9296875,7417.33984375
65536,1,8,arithmetic,5,256,1888010,1892481,7375.0390625,7392.50390625
65536,1,8,arithmetic,6,256,1872942,1876804,7316.1796875,7331.265625
65536,1,8,arithmetic,7,256,1871810,1875538,7311.7578125,7326.3203125
65536,1,8,reset,1,256,4481107,4484740,17504.32421875,17518.515625
65536,1,8,reset,2,256,4563262,4566964,17825.2421875,17839.703125
65536,1,8,reset,3,256,4353084,4356783,17004.234375,17018.68359375
65536,1,8,reset,4,256,4494191,4499539,17555.43359375,17576.32421875
65536,1,8,reset,5,256,4440578,4444272,17346.0078125,17360.4375
65536,1,8,reset,6,256,4501838,4507269,17585.3046875,17606.51953125
65536,1,8,reset,7,256,4489913,4493835,17538.72265625,17554.04296875
65536,2,16,arithmetic,1,256,1832826,1836377,7159.4765625,7173.34765625
65536,2,16,arithmetic,2,256,1825671,1829538,7131.52734375,7146.6328125
65536,2,16,arithmetic,3,256,1959029,1962671,7652.45703125,7666.68359375
65536,2,16,arithmetic,4,256,1826456,1830017,7134.59375,7148.50390625
65536,2,16,arithmetic,5,256,1828370,1831983,7142.0703125,7156.18359375
65536,2,16,arithmetic,6,256,1841804,1845416,7194.546875,7208.65625
65536,2,16,arithmetic,7,256,1833169,1838129,7160.81640625,7180.19140625
65536,2,16,reset,1,256,4615795,4620343,18030.44921875,18048.21484375
65536,2,16,reset,2,256,4479422,4483311,17497.7421875,17512.93359375
65536,2,16,reset,3,256,4557566,4566997,17802.9921875,17839.83203125
65536,2,16,reset,4,256,4423750,4427675,17280.2734375,17295.60546875
65536,2,16,reset,5,256,4495171,4499180,17559.26171875,17574.921875
65536,2,16,reset,6,256,4439218,4442851,17340.6953125,17354.88671875
