n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
4096,2,16,reset,2,4096,3005016,3008371,733.646484375,734.465576171875
4096,2,16,reset,3,4096,2961266,2971865,722.96533203125,725.552978515625
4096,2,16,reset,4,4096,2945521,2948953,719.121337890625,719.959228515625
4096,2,16,reset,5,4096,2968267,2971534,724.674560546875,725.47216796875
4096,2,16,reset,6,4096,2977160,2980744,726.845703125,727.720703125
4096,2,16,reset,7,4096,2906457,2910773,709.584228515625,710.637939453125
4096,3,24,arithmetic,1,4096,753034,756116,183.84619140625,184.5986328125
4096,3,24,arithmetic,2,4096,750603,753641,183.252685546875,183.994384765625
4096,3,24,arithmetic,3,4096,761093,764095,185.813720703125,186.546630859375
4096,3,24,arithmetic,4,4096,772032,775117,188.484375,189.237548828125
4096,3,24,arithmetic,5,4096,765111,768223,186.794677734375,187.554443359375
4096,3,24,arithmetic,6,4096,795695,798968,194.261474609375,195.060546875
4096,3,24,arithmetic,7,4096,833262,836710,203.43310546875,204.27490234375
4096,3,24,reset,1,4096,3045089,3048523,743.429931640625,744.268310546875
4096,3,24,reset,2,4096,3007148,3010491,734.1669921875,734.983154296875
4096,3,24,reset,3,4096,2992732,2996135,730.6474609375,731.478271484375
4096,3,24,reset,4,4096,2978911,2982306,727.273193359375,728.10205078125
4096,3,24,reset,5,4096,2950929,2954723,720.441650390625,721.367919921875
4096,3,24,reset,6,4096,2945582,2948837,719.13623046875,719.930908203125
4096,3,24,reset,7,4096,2906928,2910192,709.69921875,710.49609375
65536,0,0,arithmetic,1,256,1832480,1836007,7158.125,7171.90234375
65536,0,0,arithmetic,2,256,1757707,1761770,6866.04296875,6881.9140625
65536,0,0,arithmetic,3,256,1765038,1768787,6894.6796875,6909.32421875
65536,0,0,arithmetic,4,256,1822504,1826538,7119.15625,7134.9140625
65536,0,0,arithmetic,5,256,1767352,1770813,6903.71875,6917.23828125
65536,0,0,arithmetic,6,256,1747250,1750606,6825.1953125,6838.3046875
65536,0,0,arithmetic,7,256,1747632,1750929,6826.6875,6839.56640625
65536,0,0,reset,1,256,4213319,4217135,16458.27734375,16473.18359375
65536,0,0,reset,2,256,4093195,4097162,15989.04296875,16004.5390625
65536,0,0,reset,3,256,4178991,4183475,16324.18359375,16341.69921875
65536,0,0,reset,4,256,4121872,4125640,16101.0625,16115.78125
