n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
256,24,powers-two,openblas-leaf,4,32768,783271,788237,23.903533935546875,24.055084228515625
256,24,powers-two,openblas-aligned,4,32768,449402,454330,13.71466064453125,13.86505126953125
256,24,powers-two,openblas,4,32768,811259,816239,24.757659912109375,24.909637451171875
256,24,powers-two,onemkl,4,32768,710873,715791,21.694122314453125,21.844207763671875
256,24,powers-two,current,5,32768,476462,481449,14.54046630859375,14.692657470703125
256,24,powers-two,pointers,5,32768,393601,398650,12.011749267578125,12.16583251953125
256,24,powers-two,pipeline,5,32768,477163,482318,14.561859130859375,14.71917724609375
256,24,powers-two,blocks,5,32768,473473,478414,14.449249267578125,14.60003662109375
256,24,powers-two,openblas-leaf,5,32768,780685,786018,23.824615478515625,23.98736572265625
256,24,powers-two,openblas-aligned,5,32768,444543,449667,13.566375732421875,13.722747802734375
256,24,powers-two,openblas,5,32768,807177,812085,24.633087158203125,24.782867431640625
256,24,powers-two,onemkl,5,32768,588283,593497,17.952972412109375,18.112091064453125
256,24,powers-two,current,6,32768,482991,487945,14.739715576171875,14.890899658203125
256,24,powers-two,pointers,6,32768,388465,393423,11.855010986328125,12.006317138671875
256,24,powers-two,pipeline,6,32768,471124,476246,14.3775634765625,14.53387451171875
256,24,powers-two,blocks,6,32768,485599,490611,14.819305419921875,14.972259521484375
256,24,powers-two,openblas-leaf,6,32768,794019,818103,24.231536865234375,24.966522216796875
256,24,powers-two,openblas-aligned,6,32768,457290,462506,13.95538330078125,14.11456298828125
256,24,powers-two,openblas,6,32768,821631,826770,25.074188232421875,25.23101806640625
256,24,powers-two,onemkl,6,32768,598808,603709,18.274169921875,18.423736572265625
256,24,powers-two,current,7,32768,478965,483905,14.616851806640625,14.767608642578125
256,24,powers-two,pointers,7,32768,378568,383455,11.552978515625,11.702117919921875
256,24,powers-two,pipeline,7,32768,491471,496370,14.998504638671875,15.14801025390625
256,24,powers-two,blocks,7,32768,481098,485991,14.68194580078125,14.831268310546875
256,24,powers-two,openblas-leaf,7,32768,787099,792080,24.020355224609375,24.17236328125
256,24,powers-two,openblas-aligned,7,32768,454162,459149,13.85992431640625,14.012115478515625
256,24,powers-two,openblas,7,32768,914678,919706,27.91375732421875,28.06719970703125
256,24,powers-two,onemkl,7,32768,590976,595884,18.03515625,18.1849365234375
256,24,reset,current,1,32768,855709,860768,26.114166259765625,26.2685546875
256,24,reset,pointers,1,32768,784733,789620,23.948150634765625,24.0972900390625
256,24,reset,pipeline,1,32768,845795,850747,25.811614990234375,25.962738037109375
256,24,reset,blocks,1,32768,823221,828220,25.122711181640625,25.2752685546875
256,24,reset,openblas-leaf,1,32768,1110729,1115720,33.896759033203125,34.049072265625
256,24,reset,openblas-aligned,1,32768,863596,868555,26.3548583984375,26.506195068359375
256,24,reset,openblas,1,32768,1130668,1135673,34.5052490234375,34.657989501953125
256,24,reset,onemkl,1,32768,994226,999300,30.34136962890625,30.4962158203125
256,24,reset,current,2,32768,841083,846286,25.667816162109375,25.82659912109375
256,24,reset,pointers,2,32768,782563,787777,23.881927490234375,24.041046142578125
256,24,reset,pipeline,2,32768,851650,856645,25.99029541015625,26.142730712890625
256,24,reset,blocks,2,32768,822465,827629,25.099639892578125,25.257232666015625
256,24,reset,openblas-leaf,2,32768,1116207,1122105,34.063934326171875,34.243927001953125
256,24,reset,openblas-aligned,2,32768,863308,868910,26.3460693359375,26.51702880859375
256,24,reset,openblas,2,32768,1130063,1134983,34.486785888671875,34.636932373046875
256,24,reset,onemkl,2,32768,1001616,1006843,30.56689453125,30.726409912109375
256,24,reset,current,3,32768,842962,847984,25.72515869140625,25.87841796875
256,24,reset,pointers,3,32768,915810,920826,27.94830322265625,28.10137939453125
256,24,reset,pipeline,3,32768,826724,831712,25.2296142578125,25.3818359375
256,24,reset,blocks,3,32768,828174,833112,25.27386474609375,25.424560546875
256,24,reset,openblas-leaf,3,32768,1110577,1115588,33.892120361328125,34.0450439453125
256,24,reset,openblas-aligned,3,32768,864089,869009,26.369903564453125,26.520050048828125
256,24,reset,openblas,3,32768,1142807,1147881,34.875701904296875,35.030548095703125
256,24,reset,onemkl,3,32768,989594,994613,30.20001220703125,30.353179931640625
256,24,reset,current,4,32768,846326,851553,25.82781982421875,25.987335205078125
256,24,reset,pointers,4,32768,784888,789915,23.952880859375,24.106292724609375
256,24,reset,pipeline,4,32768,829282,834399,25.30767822265625,25.463836669921875
256,24,reset,blocks,4,32768,823485,828733,25.130767822265625,25.290924072265625
256,24,reset,openblas-leaf,4,32768,1115861,1171719,34.053375244140625,35.758026123046875
256,24,reset,openblas-aligned,4,32768,865296,870335,26.40673828125,26.560516357421875
256,24,reset,openblas,4,32768,1147944,1153107,35.032470703125,35.190032958984375
