elapsed_s,cpu_percent
1190.508,13.65
1191.518,12.17
1192.523,12.19
1193.533,14.77
1194.543,14.26
1195.547,13.46
1196.558,12.81
1197.564,13.84
1198.566,12.22
1199.572,12.81
1200.582,14.16
1201.593,12.03
1202.603,12.18
1203.613,13.35
1204.620,13.15
1205.624,12.04
1206.634,12.29
1207.639,13.99
1208.649,12.36
1209.651,12.39
1210.661,13.68
1211.666,12.60
1212.676,12.38
1213.677,12.67
1214.688,14.12
1215.698,11.99
1216.707,12.28
1217.713,14.16
1218.724,12.48
1219.732,12.20
1220.742,13.31
1221.752,12.81
1222.762,12.17
1223.772,13.28
1224.783,13.90
1225.793,12.02
1226.803,12.38
1227.807,20.54
1228.817,13.15
1229.828,13.31
1230.838,13.51
1231.848,12.44
1232.852,12.09
1233.862,12.46
1234.873,14.07
1235.883,12.30
1236.893,12.27
1237.900,13.94
1238.908,12.60
1239.918,12.03
1240.928,12.28
1241.939,14.14
1242.949,12.28
1243.956,12.26
1244.966,14.36
1245.967,12.30
1246.974,12.08
1247.984,13.52
1248.985,12.84
1249.995,12.28
1251.004,12.14
1252.014,14.07
1253.025,12.10
1254.034,14.36
1255.043,16.37
1256.044,13.51
1257.047,12.29
1258.050,12.72
1259.060,13.65
1260.071,12.18
1261.077,12.55
1262.087,13.66
1263.098,12.49
1264.107,13.48
1265.117,13.31
1266.127,12.88
1267.137,14.09
1268.141,23.82
1269.149,14.38
1270.159,12.67
1271.169,12.38
1272.178,13.93
1273.189,12.67
1274.190,12.34
1275.200,13.06
1276.210,13.39
1277.211,12.38
1278.221,12.31
1279.231,14.16
1280.239,12.35
1281.249,12.46
1282.259,14.07
1283.266,12.33
1284.276,13.33
1285.286,12.56
1286.295,13.73
1287.300,12.78
1288.311,12.49
1289.321,14.37
1290.323,12.22
1291.324,12.50
1292.335,13.28
1293.345,13.11
1294.355,13.16
1295.365,12.41
1296.375,14.24
1297.382,12.75
1298.392,12.30
1299.398,14.63
1300.407,12.51
1301.418,12.90
1302.425,13.78
1303.425,15.48
1304.435,12.05
1305.445,12.36
1306.456,15.00
1307.457,12.40
1308.467,12.48
1309.478,13.48
1310.485,14.60
1311.496,11.74
1312.506,12.18
1313.511,15.92
1314.521,13.97
1315.531,13.19
1316.532,16.58
1317.543,12.51
1318.552,12.09
1319.561,12.21
1320.571,16.06
1321.581,11.92
1322.586,12.12
1323.589,13.83
1324.597,12.61
1325.607,12.40
1326.618,13.18
1327.628,13.64
1328.638,12.50
1329.645,12.75
1330.656,14.29
1331.666,12.35
1332.676,12.34
1333.686,14.16
1334.696,12.60
1335.703,12.14
1336.706,12.65
1337.716,14.40
1338.721,12.64
1339.731,12.50
1340.741,14.55
1341.746,12.45
1342.751,12.19
1343.755,14.76
1344.766,14.38
1345.776,12.69
1346.786,23.73
1347.787,14.50
1348.792,12.38
1349.803,13.18
1350.813,12.18
1351.821,13.31
1352.825,14.86
1353.832,27.51
1354.842,14.61
1355.853,12.38
1356.859,13.96
1357.864,16.37
1358.874,13.59
1359.885,12.61
1360.895,12.00
1361.898,16.32
1362.907,13.45
1363.917,12.49
1364.922,14.73
1365.924,12.50
1366.934,12.48
1367.942,12.61
1368.953,13.99
1369.963,12.70
1370.971,12.92
1371.981,14.44
1372.991,15.38
1373.999,14.61
1375.009,17.96
1376.019,14.31
1377.027,12.49
1378.037,12.69
1379.038,14.23
1380.042,12.56
1381.049,12.71
1382.059,13.92
1383.069,12.73
1384.080,12.71
1385.090,13.19
1386.099,15.54
1387.107,12.45
1388.109,12.60
1389.119,16.58
1390.129,12.14
1391.139,11.82
1392.149,12.62
1393.159,12.77
1394.170,12.07
1395.179,12.21
1396.180,13.83
1397.190,11.99
1398.191,12.10
1399.201,14.61
1400.202,12.55
1401.212,12.20
1402.215,12.05
1403.223,14.12
1404.233,13.32
1405.244,12.36
1406.247,13.64
1407.257,12.48
1408.261,12.06
1409.271,12.88
1410.275,13.26
1411.275,12.50
1412.285,11.64
1413.295,14.33
1414.306,11.90
1415.306,12.22
1416.313,13.70
1417.323,12.59
1418.334,12.12
1419.344,12.67
1420.354,14.14
1421.356,11.74
1422.357,11.86
1423.367,14.02
1424.373,12.33
1425.375,12.05
1426.382,12.00
1427.392,15.51
1428.403,11.74
1429.413,12.06
1430.423,15.79
1431.433,11.98
1432.434,11.71
1433.439,12.60
1434.442,15.67
1435.452,15.23
1436.463,22.89
1437.468,14.63
1438.479,12.36
1439.486,12.57
1440.496,14.24
1441.506,13.32
1442.507,18.04
1443.511,13.03
1444.512,15.30
1445.516,12.08
1446.526,11.90
1447.536,14.68
1448.545,12.30
1449.555,12.48
1450.557,13.00
1451.564,13.92
1452.574,12.09
1453.581,19.30
1454.582,15.15
1455.584,12.08
1456.594,12.21
1457.604,13.86
1458.605,13.60
1459.615,12.10
1460.622,12.05
1461.632,14.82
1462.637,12.05
1463.640,13.19
1464.651,14.20
1465.661,12.56
1466.671,13.79
1467.682,12.98
1468.692,13.96
1469.701,12.18
1470.706,12.23
1471.709,14.34
1472.719,12.12
1473.730,12.02
1474.736,14.19
1475.739,13.16
1476.739,11.87
1477.749,12.25
1478.759,14.80
1479.770,12.92
1480.776,12.31
1481.786,14.30
1482.793,12.24
1483.794,12.29
1484.805,12.84
1485.812,14.12
1486.822,12.00
1487.825,12.00
1488.827,14.43
1489.837,12.35
1490.842,12.25
1491.853,13.88
1492.853,12.90
1493.862,13.48
1494.870,15.07
1495.871,15.52
1496.881,13.27
1497.891,12.29
1498.901,14.10
1499.911,12.69
1500.921,12.19
1501.932,13.44
1502.942,13.32
1503.952,15.54
1504.962,12.97
1505.969,14.57
1506.980,12.56
1507.980,12.80
1508.988,14.04
